sheet_type,site,year,entity,parameter,value,year_condition,timestep
Base,Global,,Global,Start Year y0,2024.0,2025-2050,
Base,Global,,Global,End Year yn,2050.0,2025-2050,
Base,Global,,Global,hours per year,730.0,2025-2050,
cost_sheet,EU27,2024.0,EU27_solarPV,import,250240.0,2024,
cost_sheet,EU27,2025.0,EU27_solarPV,import,246486.4,2025,
cost_sheet,EU27,2026.0,EU27_solarPV,import,242789.104,2026,
cost_sheet,EU27,2027.0,EU27_solarPV,import,239147.2674,2027,
cost_sheet,EU27,2028.0,EU27_solarPV,import,235560.0584,2028,
cost_sheet,EU27,2029.0,EU27_solarPV,import,232026.6576,2029,
cost_sheet,EU27,2030.0,EU27_solarPV,import,228546.2577,2030,
cost_sheet,EU27,2031.0,EU27_solarPV,import,225118.0638,2031,
cost_sheet,EU27,2032.0,EU27_solarPV,import,221741.2929,2032,
cost_sheet,EU27,2033.0,EU27_solarPV,import,218415.1735,2033,
cost_sheet,EU27,2034.0,EU27_solarPV,import,215138.9459,2034,
cost_sheet,EU27,2035.0,EU27_solarPV,import,211911.8617,2035,
cost_sheet,EU27,2036.0,EU27_solarPV,import,208733.1838,2036,
cost_sheet,EU27,2037.0,EU27_solarPV,import,205602.186,2037,
cost_sheet,EU27,2038.0,EU27_solarPV,import,202518.1532,2038,
cost_sheet,EU27,2039.0,EU27_solarPV,import,199480.3809,2039,
cost_sheet,EU27,2040.0,EU27_solarPV,import,196488.1752,2040,
cost_sheet,EU27,2041.0,EU27_solarPV,import,193540.8526,2041,
cost_sheet,EU27,2042.0,EU27_solarPV,import,190637.7398,2042,
cost_sheet,EU27,2043.0,EU27_solarPV,import,187778.1737,2043,
cost_sheet,EU27,2044.0,EU27_solarPV,import,184961.5011,2044,
cost_sheet,EU27,2045.0,EU27_solarPV,import,182187.0786,2045,
cost_sheet,EU27,2046.0,EU27_solarPV,import,179454.2724,2046,
cost_sheet,EU27,2047.0,EU27_solarPV,import,176762.4583,2047,
cost_sheet,EU27,2048.0,EU27_solarPV,import,174111.0214,2048,
cost_sheet,EU27,2049.0,EU27_solarPV,import,171499.3561,2049,
cost_sheet,EU27,2050.0,EU27_solarPV,import,168926.8658,2050,
cost_sheet,EU27,2024.0,EU27_solarPV,manufacturing,303600.0,2024,
cost_sheet,EU27,2025.0,EU27_solarPV,manufacturing,299045.4,2025,
cost_sheet,EU27,2026.0,EU27_solarPV,manufacturing,294559.719,2026,
cost_sheet,EU27,2027.0,EU27_solarPV,manufacturing,290141.3232,2027,
cost_sheet,EU27,2028.0,EU27_solarPV,manufacturing,285788.2034,2028,
cost_sheet,EU27,2029.0,EU27_solarPV,manufacturing,281498.4804,2029,
cost_sheet,EU27,2030.0,EU27_solarPV,manufacturing,277270.3442,2030,
cost_sheet,EU27,2031.0,EU27_solarPV,manufacturing,273102.2891,2031,
cost_sheet,EU27,2032.0,EU27_solarPV,manufacturing,268993.2548,2032,
cost_sheet,EU27,2033.0,EU27_solarPV,manufacturing,264942.415,2033,
cost_sheet,EU27,2034.0,EU27_solarPV,manufacturing,260948.7948,2034,
cost_sheet,EU27,2035.0,EU27_solarPV,manufacturing,257011.4613,2035,
cost_sheet,EU27,2036.0,EU27_solarPV,manufacturing,253129.3914,2036,
cost_sheet,EU27,2037.0,EU27_solarPV,manufacturing,249301.6376,2037,
cost_sheet,EU27,2038.0,EU27_solarPV,manufacturing,245527.3081,2038,
cost_sheet,EU27,2039.0,EU27_solarPV,manufacturing,241805.3986,2039,
cost_sheet,EU27,2040.0,EU27_solarPV,manufacturing,238134.9901,2040,
