sheet_type,site,year,entity,parameter,value,year_condition,timestep
Process,EU27,2024,Coal Plant_2024,inst-cap,56122.0,2024,
Process,EU27,2024,Lignite Plant_2024,inst-cap,43599.0,2024,
Process,EU27,2024,Gas Plant (CCGT)_2024,inst-cap,187303.0,2024,
Process,EU27,2024,Other non-res_2024,inst-cap,13483.0,2024,
Process,EU27,2024,Oil Plant_2024,inst-cap,14578.0,2024,
Process,EU27,2024,Coal Plant CCUS_2024,inst-cap,0.0,2024,
Process,EU27,2024,Lignite Plant CCUS_2024,inst-cap,0.0,2024,
Process,EU27,2024,Gas Plant (CCGT) CCUS_2024,inst-cap,0.0,2024,
Process,EU27,2024,Nuclear Plant_2024,inst-cap,94198.0,2024,
Process,EU27,2024,Hydro (run-of-river)_2024,inst-cap,46703.0,2024,
Process,EU27,2024,Hydro (reservoir)_2024,inst-cap,61218.0,2024,
Process,EU27,2024,Biomass Plant_2024,inst-cap,18651.0,2024,
Process,EU27,2024,Coal Plant_2024,lifetime,6.0,2024,
Process,EU27,2024,Lignite Plant_2024,lifetime,6.0,2024,
Process,EU27,2024,Gas Plant (CCGT)_2024,lifetime,25.0,2024,
Process,EU27,2024,Other non-res_2024,lifetime,10.0,2024,
Process,EU27,2024,Oil Plant_2024,lifetime,5.0,2024,
Process,EU27,2024,Coal Plant CCUS_2024,lifetime,0.0,2024,
Process,EU27,2024,Lignite Plant CCUS_2024,lifetime,0.0,2024,
Process,EU27,2024,Gas Plant (CCGT) CCUS_2024,lifetime,0.0,2024,
Process,EU27,2024,Nuclear Plant_2024,lifetime,55.0,2024,
Process,EU27,2024,Hydro (run-of-river)_2024,lifetime,30.0,2024,
Process,EU27,2024,Hydro (reservoir)_2024,lifetime,30.0,2024,
Process,EU27,2024,Biomass Plant_2024,lifetime,10.0,2024,
Process,EU27,2024,Coal Plant_2024,cap-up,56122.0,2024-2050,
Process,EU27,2024,Lignite Plant_2024,cap-up,43599.0,2024-2050,
Process,EU27,2024,Gas Plant (CCGT)_2024,cap-up,999999.0,2024-2050,
Process,EU27,2024,Other non-res_2024,cap-up,13483.0,2024-2050,
Process,EU27,2024,Oil Plant_2024,cap-up,14578.0,2024-2050,
Process,EU27,2024,Coal Plant CCUS_2024,cap-up,100000.0,2024-2050,
Process,EU27,2024,Lignite Plant CCUS_2024,cap-up,100000.0,2024-2050,
Process,EU27,2024,Gas Plant (CCGT) CCUS_2024,cap-up,100000.0,2024-2050,
Process,EU27,2024,Nuclear Plant_2024,cap-up,94198.0,2024-2050,
Process,EU27,2024,Hydro (run-of-river)_2024,cap-up,46703.0,2024-2050,
Process,EU27,2024,Hydro (reservoir)_2024,cap-up,61218.0,2024-2050,
Process,EU27,2024,Biomass Plant_2024,cap-up,999999.0,2024-2050,
Process,EU27,2024,Coal Plant_2024,min-fraction,0.0,2024-2050,
Process,EU27,2024,Lignite Plant_2024,min-fraction,0.0,2024-2050,
Process,EU27,2024,Gas Plant (CCGT)_2024,min-fraction,0.0,2024-2050,
Process,EU27,2024,Other non-res_2024,min-fraction,0.0,2024-2050,
Process,EU27,2024,Oil Plant_2024,min-fraction,0.0,2024-2050,
Process,EU27,2024,Coal Plant CCUS_2024,min-fraction,0.5,2024-2050,
Process,EU27,2024,Lignite Plant CCUS_2024,min-fraction,0.65,2024-2050,
Process,EU27,2024,Gas Plant (CCGT) CCUS_2024,min-fraction,0.0,2024-2050,
Process,EU27,2024,Nuclear Plant_2024,min-fraction,0.7,2024-2050,
Process,EU27,2024,Hydro (run-of-river)_2024,min-fraction,0.3,2024-2050,
Process,EU27,2024,Hydro (reservoir)_2024,min-fraction,0.3,2024-2050,
Process,EU27,2024,Biomass Plant_2024,min-fraction,0.0,2024-2050,
Process,EU27,2024,Coal Plant_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Lignite Plant_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Gas Plant (CCGT)_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Other non-res_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Oil Plant_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Coal Plant CCUS_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Lignite Plant CCUS_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Gas Plant (CCGT) CCUS_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Nuclear Plant_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Hydro (run-of-river)_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Hydro (reservoir)_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Biomass Plant_2024,cap-lo,0.0,2024-2050,
Process,EU27,2024,Coal Plant_2024,max-grad,inf,2024-2050,
Process,EU27,2024,Lignite Plant_2024,max-grad,inf,2024-2050,
Process,EU27,2024,Gas Plant (CCGT)_2024,max-grad,inf,2024-2050,
Process,EU27,2024,Other non-res_2024,max-grad,inf,2024-2050,
Process,EU27,2024,Oil Plant_2024,max-grad,inf,2024-2050,
Process,EU27,2024,Coal Plant CCUS_2024,max-grad,inf,2024-2050,
Process,EU27,2024,Lignite Plant CCUS_2024,max-grad,inf,2024-2050,
Process,EU27,2024,Gas Plant (CCGT) CCUS_2024,max-grad,inf,2024-2050,
Process,EU27,2024,Nuclear Plant_2024,max-grad,inf,2024-2050,
Process,EU27,2024,Hydro (run-of-river)_2024,max-grad,inf,2024-2050,
