Technology,Scenario,Slope_2030_2032,Degrees_2030_2032,Slope_2032_2034,Degrees_2032_2034,Slope_2034_2036,Degrees_2034_2036,Slope_2036_2038,Degrees_2036_2038,Slope_2038_2040,Degrees_2038_2040
Solar PV,Base_case,81.517,89.3,76.867,89.25,64.883,89.12,69.883,89.18,79.082,89.28
Solar PV,5,81.517,89.3,76.867,89.25,64.883,89.12,69.883,89.18,79.082,89.28
Solar PV,10,81.517,89.3,76.867,89.25,64.883,89.12,69.883,89.18,79.082,89.28
Solar PV,15,81.517,89.3,76.867,89.25,64.883,89.12,69.883,89.18,79.082,89.28
Solar PV,20,81.517,89.3,76.867,89.25,61.375,89.07,61.822,89.07,67.765,89.15
Solar PV,25,81.517,89.3,73.859,89.22,43.712,88.69,48.648,88.82,54.573,88.95
Solar PV,30,81.517,89.3,63.915,89.1,33.797,88.31,39.133,88.54,47.657,88.8
Solar PV,35,81.517,89.3,49.789,88.85,26.744,87.86,32.229,88.22,41.586,88.62
Onshore Wind,Base_case,15.33,86.27,18.539,86.91,20.396,87.19,22.876,87.5,-7.53,-82.44
Onshore Wind,5,15.33,86.27,18.539,86.91,20.396,87.19,22.762,87.48,-7.248,-82.14
Onshore Wind,10,15.33,86.27,18.539,86.91,20.396,87.19,23.076,87.52,-3.424,-73.72
Onshore Wind,15,15.33,86.27,18.539,86.91,20.396,87.19,23.076,87.52,-4.896,-78.46
Onshore Wind,20,15.33,86.27,18.539,86.91,20.396,87.19,24.471,87.66,2.111,64.65
Onshore Wind,25,15.33,86.27,18.539,86.91,20.396,87.19,25.204,87.73,11.89,85.19
Onshore Wind,30,15.33,86.27,18.539,86.91,20.396,87.19,25.204,87.73,28.457,87.99
Onshore Wind,35,15.33,86.27,18.539,86.91,20.396,87.19,25.204,87.73,28.457,87.99
Offshore Wind,Base_case,8.285,83.12,12.927,85.58,16.807,86.59,7.243,82.14,-2.4,-67.38
Offshore Wind,5,8.285,83.12,12.927,85.58,14.618,86.09,6.865,81.71,-2.4,-67.38
Offshore Wind,10,8.285,83.12,12.927,85.58,12.809,85.54,6.056,80.62,-2.4,-67.38
Offshore Wind,15,8.285,83.12,12.927,85.58,12.582,85.46,5.943,80.45,-2.4,-67.38
Offshore Wind,20,8.285,83.12,12.927,85.58,14.412,86.03,6.293,80.97,-2.4,-67.38
Offshore Wind,25,8.285,83.12,12.6,85.46,11.45,85.01,12.641,85.48,-1.427,-54.98
Offshore Wind,30,8.285,83.12,11.057,84.83,9.39,83.92,10.512,84.57,3.777,75.17
Offshore Wind,35,8.285,83.12,10.628,84.63,7.92,82.8,8.872,83.57,8.671,83.42
